Exposant	Pitch	Secteur	Pays	AI	Pays
Reyouzz	"A key player in the circular economy, Reyouzz gives new life to our goods by providing a range of services from the products valuation to their local reconditioning.

Our credo is simple:
 
- buy back what can be reconditioned,
- reward donations with vouchers for items that are sent for recycling,
- reuse the product or its materials to give a new lease of life to items destined to be forgotten in a drawer or thrown away.
 
With a range of services tailored to the needs of mass retailers, Reyouzz is helping to transform the retail sector towards second life. The start-up is also extending its services to businesses, local authorities and educational institutions, to reduce the need to buy new.
 
Reyouzz is rethinking the way we consume."	Consumer goods/Retail/E-commerce	France	456	France
REYOUZZ 1	"A key player in the circular economy, Reyouzz gives new life to our goods by providing a range of services from the products valuation to their local reconditioning.
Our credo is simple:
 
- buy back what can be reconditioned,
- reward donations with vouchers for items that are sent for recycling,
- reuse the product or its materials to give a new lease of life to items destined to be forgotten in a drawer or thrown away.
 
With a range of services tailored to the needs of mass retailers, Reyouzz is helping to transform the retail sector towards second life. The start-up is also extending its services to businesses, local authorities and educational institutions, to reduce the need to buy new.
 
Reyouzz is rethinking the way we consume."	Consumer goods/Retail/E-commerce	France	455	France
REZEAU CONSTRUCTEUR EOLIEN	"REZEAU CONSTRUCTEUR EOLIEN (RCE) is an industrial project for the design and manufacture of low-tech wind
turbines which integrates a deployment and implementation solution.
RCE wind turbines allow massive and rapid deployment with a solution that has less impact on the environment and
allows for better distribution of the wealth produced"	Smart City/Building	France	0	France
Rhoban	"Rhoban is a team of the LaBRI, the computer science lab of Bordeaux University, CNRS and ENSEIRB-MATMECA.
Rhoban is specialized in Autonomous Robotics, Agricultural Robotics and Humanoid Robotics.
Rhoban won the world championship of Autonomous Kid-Size Soccer Robot 5 times, the RoboCup."	Other	France	0	France
Ridergy	"Software-as-a-service energy management solution for commercial EV fleets: 

- A complete energy management platform that allows for optimisation of an entire company's energy system. 
- Optimise tariffs (time-of-use and dynamic) to charge EV fleets at the lowest electricity costs. 
- Predictive load management to stay within grid connection limits and eliminate grid-imposed fines, which can be coupled with solar energy systems and stand-alone batteries. 
- Optimise for renewable energies to prioritise charging fleets with green energy."	Energy	Germany	0	Hors France
Rightnow-by-Brenco	Rightnow-By-B is your one-stop shop for building your app and streamlining your workflow through AI. Our No-Code solution helps you create custom apps in just a few clicks, optimize your data processing and reduce errors and costs.	Information technologies	Algeria	98	Hors France
RIIICO GmbH	RIIICO breaks the ice for the industrial metaverse transforming scanning data into lively digital twins enabling users to drag&drop each and every object! How does that work? RIIICO AI detects, extracts, beautifies and transforms each object individually. From small supply carts to heavy building infrastructure, with RIIICO any point cloud data is rendered ready for use in your favorite 3D tool. This way, RIIICO bridges the gap to full manufacturing simulation drastically reducing CAD modeling costs and extensive lead times.	Industry	Germany	183	Hors France
Rime Bioinformatics	"Bacteriophages or phages are viruses that can kill bacteria and represent a promising alternative to antibiotics.

Rime Bioinformatics' mission is to develop high-performance bioinformatics analyzes to enable the safe use of phage therapy, for patients and the environment. 

We provide our clients with clear, precise, and detailed analysis of the genome of their phages of interest, allowing them to save money on their go-to-market process.

We are also developing analysis methods to assess the quality of phages and bacteria produced by companies and laboratories implementing alternatives to antibiotics and already having a product to sell on the veterinary or human health market.

We focus our R&D efforts on the development of long-term solutions to help develop effective phage-based remedies to replace current antibiotics."	Health	France	328	France
Ringover	Ringover is a key player in the French scale-up tech ecosystem. With its powerful multichannel customer communications tool, Ringover is the ideal solution for companies looking to revolutionise their business conversations across all channels (phone calls, video calls, SMS, chat, etc.) while transforming them into a lever for growth, all the while reducing repetitive tasks for their teams. Ringover’s technology uses AI to boost productivity and efficiency, and provides an intuitive platform that integrates seamlessly with over 80 tools. The company offers a conversational intelligence tool, Empower, which allows users to optimise their conversations, strengthen sales performance and enhance the customer experience. For sales prospecting, Ringover has Cadence - the most effective prospecting tool to simplify, organise and automate sales prospecting tasks. Transform all your business conversations with Ringover! Come see us at Booth G12-004 to find out more.	Software Development/Cloud services	France	422	France
RIOT		Information technologies	France	0	France
Riseup Labs	"Riseup Labs is an ISO 9001 & 27001 certified next-generation global IT service and technology solution provider company that helps enterprises reimagine their business and navigate their digital transformation. We harness the power of web 3.0, automation, analytics, IoT, cloud and emerging technologies to design & develop innovative, intelligent and sustainable solutions and services. We are a purpose-driven and outcome-based technology partner that enables 100+ clients in more than 20 countries to adapt to the digital transformation and make them successful. With over 13 years of experience in managing 700+ projects and working with global enterprises, like - UNICEF, UNDP, USAID, FAO, WHO, ATEC, BBC, Fhi360, Axiata, Murka, Safe-Guard, Swiss Marketing Systems; we expertly steer our clients through their digital journey. Together, we discover ideas and connect the dots to create a better and a bold new future."	Information technologies	Bangladesh	357	Hors France
Riskfuel Analytics Inc.	"Riskfuel's innovation in accelerating computationally-intensive valuation models using DNNs is transforming the financial derivatives market. By harnessing DNNs, Riskfuel achieves remarkable speeds in portfolio valuation, offering traders real-time insights previously out of reach with traditional methods. 

With AI models demonstrating speeds millions of times faster than conventional ones, Riskfuel stands out for delivering ultra-fast valuations across all derivative models, including complex ones with thousands of dimensions and discontinuities. Furthermore, Riskfuel's models undergo extensive training over a broad domain of approximation, ensuring their validity across diverse market conditions without requiring retraining.

Riskfuel's technology has been validated through collaborations with leading financial institutions and independent assessments. Notably, Microsoft's validation demonstrated a 20 million times faster acceleration while maintaining accuracy."	Banking/Finance/Insurance/Legal	Canada	316	Hors France
RIVIÈRE YUAN EDTECH	"Welcome to Rivière Yuan, where our goal is to revolutionize language education delivery and experience. At the core of our mission, we employ state-of-the-art AI technology to enhance the capabilities of language educators, enabling them to maximize their pedagogical creativity, promote effective collaboration, and develop personalized, impactful lessons.

We offer a comprehensive suite of tools that aid educators in creating tailored content that meets the unique needs and learning paces of their students, ensuring that each lesson, beyond the transfer of knowledge, also provides a meaningful and engaging learning experience.

By adopting our suite, language educators are equipped to not only teach more efficiently but also to inspire and profoundly influence their students' learning journey. Join us as we redefine the future of language education, making it more dynamic, accessible, and customized than ever."	HR/Training/Education	France	160	France
RIZER.CLICK	"Thanks to Rizer, businesses can create a unique shopping experience for their customers, boost sales, enhance customer loyalty and reengagement, and generate positive buzz around their brand. This out-of-the-box solution makes implementing and managing the ""10th / Xth item free"" promotion easy while promoting social interaction and friendly competition among customers. 
The concept behind this solution is to transform the shopping experience into a community game by earning free products after a cumulative number of sales for each product in stock.
This not only doubles customer motivation by adding the excitement of participating in the game to the motivation to make a purchase but also allows you to surpass the competition!
Rizer isn’t just a tool; it’s a strategy with the potential to transform your business dynamics by tempting customers to choose you over traditional sellers, turning purchases into an engaging community game."	Consumer goods/Retail/E-commerce	France	0	France
Roamigo	Roamigo is a revolutionary global eSIM startup headquartered in the heart of the thriving APAC region. With a strong network of 140 global mobile network operator partnerships, we offer seamless connectivity solutions spanning over 250 countries. We understand the diverse needs of global travelers, businesses, and individuals, and our innovative eSIM technology ensures reliable and convenient connectivity wherever you go. As a company based in South Korea, we are proud to offer LG Uplus' premier products worldwide, showcasing one of the country's leading local telcos. We go beyond just data-only eSIMs, offering an extensive range of product options that include call-inclusive data plans, catering to the needs of modern-day travelers. Our B2B2C eSIM sales partnership enables e-tailers in the tourism industry to flourish, increasing their revenue streams through our services. Our partners vary from airlines to OTAs, travel content platforms, and more.	Telecom/Connectivity	South Korea	789	Hors France
Robosen Robotics	"At Robosen, we design game-changing and innovative robotics technologies and bring them to life in advanced consumer entertainment robots that move and play in remarkable ways.

In addition to our staple Robosen robots, we utilise our technology in branded robots to bring on-screen characters to life. We have formed partnerships with the world’s most popular IPs, including Disney/Pixar and Hasbro, with more to come.

Our world-class research and development teams consist of top robotics developers, AI scientists, and life-long science-fiction fans. 

Our continuous breakthroughs and patented technologies over the last 16 years in motors, actuator control systems, chips, and algorithms have established us as a robotics powerhouse and an industry leader in the consumer robotics market."	Consumer goods/Retail/E-commerce	China	124	Hors France
RockFish	"Product owners are increasingly facing data bottlenecks across the entire product lifecycle—everything from training and testing AI models, pre-sales demo and onboarding, system stress testing, and customer response. Synthetic data via Generative AI holds the key to address this massive opportunity.

Rockfish Data is the industry’s first outcome-centric synthetic data generation platform that  helps companies unlock the true value of their data to tackle these data bottlenecks. Rockfish’s data adaptive, and enterprise secure platform builds on patent-pending proprietary technology and years of university research from Carnegie Mellon University.

For more information, please visit https://www.rockfish.ai."	Information technologies	United States of America	111	Hors France
Rofim	"Rofim is a multidisciplinary platform that brings together the expertise of practitioners, dedicated analysis technology and medical imaging to deliver a faster diagnosis to patients.
Beyond a platform, Rofim brings together the common sense of two worlds: medicine for care, technology to simplify daily life.
We are committed to making the daily lives of doctors, patients and medical organisations simpler, more virtuous and more fluid.
We are united by the desire to democratize access to care and facilitate the daily life of hospitals and doctors to offer the best in digital health : making the care process more fluid is essential to simplify the daily lives of patients and healthcare professionals.
This daily routine must be more collaborative, information more transverse and intelligence sharing more accessible. Rofim works in this direction thanks to its platform to easily collaborate on cases, exchange knowledge and accelerate the diagnosis."	Health	France	301	France
Rology	"Rology is at the forefront of transforming radiological services with its innovative, FDA-cleared AI-assisted teleradiology platform. As a leader in the Middle East and Africa, Rology leverages cutting-edge technology to address critical gaps in healthcare by providing reliable, timely, and high-quality diagnostic reports, ensuring that quality medical diagnostics are accessible even in the most remote regions.
Our platform is uniquely designed to manage the increasing demand for radiological services, offering a seamless solution that integrates with existing hospital systems to support real-time, efficient diagnostics. This system not only enhances the accuracy of diagnoses with AI quality control but also significantly reduces the turnaround time for radiological reports to as little as 30 minutes for emergencies and 4 hours for standard cases__."	Health	Egypt	99	Hors France
ROMIN	"Depuis 2022, ROMIN, StartUp d'Etat du Ministère de la Justice associée à beta.gouv.fr, favorise l'application du modèle efficace à la prévention de la récidive en distribuant, d'abord, des contenus d'intervention aux professionnels des Services Pénitentiaires d'Insertion et de Probation de France.
En cohérence au modèle Risque-Besoins-Réceptivité, ROMIN compile et distribue une soixantaine d'outils d'intervention à destination des personnes condamnées. Ces outils, issus de la communauté des professionnels du secteur, sont classés par facteurs de risque de récidive à traiter et s'accompagnent de soutiens méthodologiques ciblés pour en éclairer le maniement.
Cette solution numérique en accélération est d'ores été déjà utilisée par près de 2000 agents en France et poursuit le développement de nouvelles fonctionnalités dans le seul but de consolider son impact."	Government/Public institutions	France	255	France
ROSE PIRATE	Une nouvelle vie à vos tubes de rouge à lèvre grâce à un baume 100% naturel : FABRIQUÉ EN FRANCE, FORMULE NATURELLE, VEGAN, ARTISANAL.	Luxury/Fashion/Beauty	France	0	France
Roundpeg		Industry	Germany	0	Hors France
RUN.EDGE	RUN.EDGE is a video search and analysis technology company that transforms media & entertainment consumption with object-based solutions. The company offers two sports video analysis products, including PITCHBASE for baseball and FL-UX Football for field sports. Furthermore, the company is developing Recoroku for corporate companies and Sfgo for auto racing among other projects in various fields with the common objective of redefining communication by placing videos at the forefront.	Media/Entertainment/Culture	Japan	90	Hors France
RunBlind	"Today, the sound guidance of navigation applications is not adapted to real-time use. Users turn back to their screen,  which is dangerous and sometimes even prohibited.
Dynamic 3D audio guidance is the proposed alternative since it is natural to follow a sound source that precedes you, compensating for all head movements.
Such a solution has never seen the light of day before because it faces a major obstacle : the Bluetooth transmission of spatialized sounds in the phone introduces a latency that makes the guidance experience uncomfortable or even impossible. So, RunBlind’s spatialization technology is directly integrated into the microprocessors of the Bluetooth headsets (TWS) or smartglasses.
All navigation applications (IOS/Android) are connectable to our dynamic 3D sound engine."	Information technologies	France	0	France
RUNTECH SERVICES	We're illuminating the path to eco-friendly and resilient urban development with sustainable solar-powered street lamps, uniquely designed to withstand the challenging conditions of tropical regions and topped with advanced connectivity features. We are adressing the shortcomings of current alternatives : existing solutions are either energy-hungry, not adapted to the rise of natural disasters or both, while our solution is designed to be  durable and sustainable in any environment. We develop, assemble these solutions and install them on site through contracts with city planners, builders and engineering consultants. Its high-capacity energy storage and advanced connectivity features allow for various use-cases, from limiting impact on specific biodiversity species to redistributing energy to users (electric bycicles, phone charging, etc.).	Smart City/Building	Reunion	86	Hors France
Saarland Innovation & Standort	"saarland.innovation&standort (saaris) is a business development agency in and for the Saarland, 
one of the 16 German federal states.
The overarching goal of our activities is to strengthen Saarland companies in the contexts of structural change, digital transformation and increasing innovative strength. For small and medium-sized enterprises (SMEs) in particular, saaris has a broadly diversified and at the same time highly specialised portfolio of services, the added value of which is reflected not least in the numerous government subsidies from which saaris, and as a result Saarland’s companies as well as the entire Saarland as a place to live and do business, benefit."	Government/Public institutions	Germany	0	Hors France
SABI AGRI	"SABI AGRI decarbonizes agriculture through its sustainable technologies. We design and manufacture in France lightweight 100% electric tractors and robots, able to work in sync or independently.  Our last innovation “Robotic Harmony” is the first collaborative robotic fleet of lightweight electric vehicles combining tractor and robots. Aboard of his electric tractor, the farmer works his field and pilots their electric robots, which carry out the same or complementary operations. Our collaborative robotics multiply the impact!
With our innovations, we make a true difference in solving the current agricultural challenges (environmental issues and lack of manpower) by deploying our unique blend of farming and engineering know-how. It allows to deliver sustainable ways of working the land, ensuring a unique performance model (enviro, economic & social)."	Food	France	52	France
SafeBrain.AI	"With SafeBrain.AI, you can secure, develop, and manage the usage of generative AI within your organization, without compromise on data sovereignty, governance, or GDPR compliance.

In collaborative workspaces with managed access rights, SafeBrain.AI enables the development of conversational agents that can leverage your internal knowledge bases. Team members can engage and contribute in real-time within shared conversations through the AI agents.

SafeBrain.AI features a comprehensive back-office equipped with innovative AI-based tools for security and governance audits. It ensures the pseudonymization of identifying data and development of customizable security filters that trigger real-time alerts for administrators.

Token consumption can be monitored and controlled, just like team members' adoption rates. All users can provide real-time feedback are on each virtual assistant, allowing for continuous improvement."	Software Development/Cloud services	France	12	France
Safehear	"SAFEHEAR is a startup that designs and develops audio and radio technologies coupled with artificial intelligence. The first application of our know-how is in industry, with our first product: Louis.
Louis is a communication solution enabling operators working in noisy environments to communicate without having to remove their hearing protection (plugs, helmets which often isolate them) or start shouting.
Louis takes the form of a small, ergonomic box that fits in the palm of the hand. It connects to the employee's hearing protection (plug, helmet), and recognizes the operator's sound environment: it filters the frequencies picked up, reduces the volume of anything other than the voice (engine, ventilation, machines, etc.) and transmits only the enhanced voice to the various interlocutors. This means you can communicate in noisy environments of up to 100dB without having to shout, while remaining protected."	Industry	France	904	France
Saga	Saga is a collaborative workspace for connected notes, docs, and tasks. It focuses on speed, simplicity, and useful AI that helps individuals and teams organize and make sense of their knowledge.	Information technologies	Bulgaria	117	Hors France
Sakowin	"Sakowin is a Deeptech founded in 2017, specialized in the production of decarbonated hydrogen by plasmalysis of (bio)methane and committed to the energy transition. The Sakowin solution is negative or neutral in CO2 emissions. It uses 5 times less electricity than electrolysis to produce the same quantity of hydrogen at a competitive cost, and does not consume water, a resource whose preservation is essential in the fight against climate change. 
Sakowin equipment is compact and modular. This technological building block can be rapidly integrated into existing gas infrastructures, for on-site, on-demand production at a capacity that can be easily adjusted to suit specific sectors and installations.  The co-production of solid carbon is valuable both economically and environmentally, in current carbon black markets such as tires and inks. Because we believe in the deployment."	Energy	France	429	France
SALESFORCE	"Salesforce is cloud-based CRM software. It makes it easier for companies to find more prospects,
close more deals, and connect with customers in a whole new way, so they can provide them with
amazing service at scale.
Salesforce brings together all your data, from any source. Einstein 1, our complete suite of products,
unites your sales, service, marketing, commerce, and IT teams with a single, shared view of customer
information. With artificial intelligence integrated across all products, Salesforce helps everyone in
your company work more productively and better deliver the personalized experiences customers
love.
By improving team communications, automating repetitive tasks, and improving productivity with the
help of trusted AI, our customers drive greater business success."	Software Development/Cloud services	United States of America	741	Hors France
SAMP	"Samp’s Shared Reality brings simplicity to industrial revamping & maintenance. Our AI-generated 3D visual workspace helps continuously connect your outdated technical data with up-to-date 3D reality capture of your facilities. All teams collaborate around an engaging workspace consolidating information around the indisputable truth from the field.

Find out more about Samp: https://samp.ai/solution/
Connect with us: https://www.linkedin.com/company/samp-ai/"	Software Development/Cloud services	France	68	France
Sanofi	"We are an innovative global healthcare company with one purpose: to chase the miracles of science to improve people’s lives. We want to build a healthier, more resilient world. We turn the impossible into the possible by discovering, developing, and delivering medicines and vaccines for millions of people around the world. 
We’re on course to transform the practice of medicine through breakthrough science, and to make a positive impact on the people and communities we serve. 
We aim to become a leading company in immunology and positively impact millions of patients suffering from dermatological, respiratory, gastroenterological, and other immune-mediated diseases."	Health	France	485	France
SANPOM powered by Nuvatech.me	"Leading the Future of Fashion with Realistic and Scalable Digital Solutions
Our digital fashion platform leverages advanced generative AI to transform how consumers shop online, focusing on actual fit rather than standard size recommendations. Unique among virtual try-on solutions, our technology allows for the real-time conversion of 2D design files into detailed 3D digital garments. This ensures that shoppers can view how clothes will truly fit their individual body shapes, displayed on precisely modelled digital avatars.

This emphasis on realistic representation helps consumers make more informed decisions, reducing the likelihood of returns due to fit issues. Additionally, our platform stands out for its scalability - our robust system is designed to handle an expansive volume of designs in real time, enabling continuous and dynamic updating of retailer offerings.

Join us in setting a new standard in the online fashion industry, where scalability meets the precision of fit."	Consumer goods/Retail/E-commerce	China	136	Hors France
SARL ATLAS MARKET SPACE	Atlas Marketspace is revolutionizing e-commerce by offering a comprehensive platform that empowers entrepreneurs to succeed online. With Atlas, you can effortlessly create and customize your online store, manage inventory and orders efficiently, and harness advanced marketing tools to reach your target audience effectively. Our robust analytics provide valuable insights to optimize your store's performance. Backed by dedicated customer support and expertise across various e-commerce platforms, Atlas Marketspace is your partner in achieving sustainable growth and success in the digital marketplace.	Software Development/Cloud services	Algeria	551	Hors France
SARL BIT BAIT ALGERIE	"BIT BAIT ALGERIE specializes in manufacturing of innovative products natural and non-toxic insecticide and rodenticide products based on 100% natural active ingredient. These products are suitable for domestic, professional and agricultural use in complete safety for the health of humans, domestic animals and the environment. The manufacturing process is healthy and does not require the use of water, and does not generate any waste or residue (solid, liquid or gaseous) eco-innovation with a competitive cost.

Our innovation holds three patents issued by the Algerian National Institute of Industrial Property INAPI.

BIT BAIT ALGERIE is registered within the World Intellectual Property Organization WIPO in Geneva .

Also, The company has been labelled SOLAR IMPULSE FOUNDATION EFFICIENT SOLUTION since August 2020."	Industry	Algeria	6	Hors France
SARL CAFYB	"Since its launch in 2022, CAFYB has put innovation at the heart of its strategy with the aim of offering managers of small and medium-sized businesses a simple, effective and secure digital solution. Customer management, invoicing, collection, expense tracking... and many other features that will help you manage your business.
Our goal is to simplify management processes, optimize operations and provide complete business visibility, so our clients can make informed decisions and achieve their growth goals."	Software Development/Cloud services	Algeria	90	Hors France
SARL MERID TECHNOLOGY	"RHINOTENDER.COM est une plateforme innovante conçue pour simplifier et optimiser le processus de passation des marchés. Que vous soyez un acheteur public ou privé ou un fournisseur cherchant à soumissionner pour des contrats, notre plateforme offre une suite complète d'outils pour vous aider à gérer efficacement vos appels d'offres.
Notre plateforme permet aux acheteurs de publier facilement des appels d'offres, en spécifiant les détails du projet, les exigences et les délais.
Les fournisseurs peuvent soumettre leurs propositions directement via notre plateforme sécurisée, simplifiant ainsi le processus pour toutes les parties impliquées.
Nous offrons un espace de stockage sécurisé pour tous les documents pertinents liés aux appels d'offres, y compris les cahiers des charges,
Gain de temps et d'efficacité grâce à une automatisation intelligente des processus -Transparence accrue et conformité aux réglementations en vigueur Réduction des coûts administratifs"	Information technologies	Algeria	288	Hors France
SARL VIVALTECH	"In a digitalization context where digital identity plays a crucial role, VIVALTECH designs and implements strong digital identity management solutions.

Our solutions include:

Cryptographic tokens for securing access to workstations and terminals;
Next-generation smart company badges that are tamper-proof, aiming to eliminate identity theft (a real headache) and ensuring the identity of employees during remote exchanges, utilizing electronic document and email signature technology.
A comprehensive range of electronic certification servers, electronic signature, and qualified electronic timestamping.

All our solutions are fully eiDAS compliant, FIPS 140-3 Level 2 compliant and CC (Common Criteria) compliant."	Cybersecurity/Defense	Algeria	310	Hors France
SARL ZIMOU EXPRESS	Zimou Express is an innovative startup designed to streamline e-commerce operations. It offers a centralized platform that allows e-commerce professionals to seamlessly connect with a variety of top delivery companies without the need for direct partnerships. This integration simplifies the logistics process, making it easier for businesses to manage deliveries efficiently. Additionally, Zimou Express provides a comprehensive ERP system tailored to the specific needs of e-commerce businesses. This ERP system covers a wide range of functionalities including purchase management, supplier coordination, order and parcel management, cash on delivery (COD) transactions with delivery firms, inventory management, shop maintenance, and an integrated point of sale (POS) system. This suite of tools is designed to enhance operational efficiency, reduce overhead costs, and improve service delivery, making Zimou Express a crucial partner for growing e-commerce ventures.	Software Development/Cloud services	Algeria	443	Hors France
Sas innotech - Greenfib	"We want to contribute, with ambition and humility, to an ecologically mature world, in harmony with the biosphere. We're convinced that it's our habits that will bring about this transformation, and that together, we can act differently to make it possible and exciting. How can we do so? 
Through our material:
- patented in 2011, it is positioned as an alternative to petroleum-based plastics... 
- combining sourcing and end-of-life logics in a global approach 
o Optimized sourcing
o Plan to reduce its carbon footprint, 
o Focus on developing coherent, multi-purpose objects, 
o 100% mechanically shredded material reuse 
o BtoB and BtoC recycling channels, 
In our own way, 
We draw inspiration from those around us, we experiment with each other, we share with you, to help transform the behavior of manufacturers, distributors and users.
o Greenfib runs impact-boosting workshops,_for its entire ecosystem_in unique and inspiring locations_on subjects such as the right communication"	Industry	France	0	France
SAS Les truffieres du Berry	"Our company is one of the largest agricultural organizations producing black truffles. We are looking to develop a harvesting process. This process will help remove obstacles to production and better meet market needs.

Notre compagnie est l'une des plus grandes organisations agricoles de production de truffes noires. Nous cherchons à développer un processus de récolte. Ce processus permettra de supprimer un frein à la production et de répondre davantage aux besoins du marché."	Food	France	0	France
SAS MONDIN - NISIAR	"Nisiar is a flexible, durable and modular material, inspired by the history of French vineyards.
Unlike other leather alternatives on the market, Nisiar is distinguished by the absence of a textile backing, giving it the same strength and durability as animal leather. Composed of 75% natural materials, this single-layer material can be worked in the traditional way, while offering cutting-edge creative possibilities thanks to its thermoformable properties.
Each variety of Nisiar is associated with a specific grape marc, giving it a unique colour and texture."	Luxury/Fashion/Beauty	France	0	France
Satisfai	At Satisfai, we help businesses improve their customer and employee experiences through our cutting-edge AI-driven solutions. Our suite of tools, including customer service management and quality assurance automation, employee satisfaction surveys, and mystery shopping automation, is designed to help you create the perfect customer success strategy for your business.	Information technologies	Armenia	10	Hors France
Saudi Arabia - Saudi Federation for Cybersecurity, Programming and Drones	"A leading national organization dedicated to advancing capabilities in cybersecurity, programming, and drones. To develop a skilled workforce and foster innovation for the nation's strategic objectives in technology and security. 
Our mission is to build a secure and innovative technological ecosystem by developing talent, promoting research, and creating strategic partnerships in cybersecurity, programming, and drone technology. 
SAFCSP is the proud organizer of Black Hat MEA, one of the region's premier cybersecurity conferences.
At VivaTech our goal is to show the world some of our products.
bugbounty.sa
an innovative platform that connects organizations with a community of ethical hackers to identify and address security vulnerabilities. 
Flagtard.com
a comprehensive platform designed to enhance cybersecurity capabilities through training, simulations, and real-world scenarios. It provides a robust environment for users to develop and test their skills in a secure setting."	Cybersecurity/Defense	Saudi Arabia	849	Hors France
Save Innovations	"Preserve water resources with the SMART PICOGEN permanent diagnostic system.
An online, modular integrated device for measuring up to 7 physico-chemical parameters.
Control your drinking water networks with real-time data to prevent leaks and health risks"	Industry	France	0	France
Save Your Wardrobe	"Save Your Wardrobe is a Fashion & Retail Tech startup with a circular digital platform tailored for fashion brands and retailers to streamline the post purchase experience through digital wardrobes, wallets and end to end care and repair services.

Save Your Wardrobe has partnered with the likes of Zalando, Hugo Boss, Maje and LVMH with live operations in the UK, Germany, France and the United States. The decentralised nature of the solution is extremely scalable, and leverages a network of local, vetted clothing care specialists across service categories like repairs, alterations, special material care and more. The solution is also compatible with brand’s existing ateliers or in-house tailors, streamlining and optimising operations, logistics and communication to the end customer, while providing live data reporting dashboards providing full visibility on the data of services booked. 

Save Your Wardrobe has recently won the LVMH Innovation Award at Vivatech 2023 and is accelerated by the luxury group in their accelerator La Maison des Startups at Station F in Paris. This award enables Save Your Wardrobe to accelerate their penetration of the French and luxury market."	Luxury/Fashion/Beauty	France	38	France
SAVIAN BY BIOFLUFF	BioFluff is a Biomaterials startup that is creating a portfolio of plant-based and biodegradable materials. Their first materials brand, SAVIAN, is 100% plant-based fur to help the fashion transition away from animal farming and replace synthetic plastic fur. SAVIAN was launched at COP28 through a collaboration with Stella McCartney. BioFluff’s provisional patented technology uses plant fibers from several preferred fiber plants and augments them to mimic animal hair in length, shape, softness, and durability. The fibers are sourced in Europe and the materials are produced at scale in Italy.  As BioFluff expands, it will have many different material applications/lines/types, some aimed at luxury/premium fashion, while others will center around toys, packaging, or interior design. Our mission is to be a foundational player in creating a more sustainable materials industry.	Luxury/Fashion/Beauty	France	469	France
SAYNA	"SAYNA connect learners to their first digital job through a set of digital tools to Learn, find & complete digital job/project or tasks for business and earn extra money…
People looking for new professional digital skills and those looking to carry out digital projects are brought together via our platforms with 2 main product in one : SAYNA Learn, SAYNA Work. 
- SAYNA Learn is for acquiring digital skills, courses are made by experts, step by step with video & written courses, quizzes, digital projects to complete and dashboard to follow your progression at 
- SAYNA Work is for connecting people to digital opportunities and help them organize their work easily. 
- Invoicing is on a per-project basis: the worker manages the relationship and the project via the platform, from which the customer can pay once the deliverable has been validated. 
- The worker get paid on delivery
Our digital system of organization and evaluation guarantees reliability of skills and execution"	HR/Training/Education	France	318	France
SCALE AI	"Scale AI is Canada’s artificial intelligence (AI) Global Innovation Cluster dedicated to boosting industry performance by leveraging AI technologies to improve value chains, with a specific focus on building resilient and sustainable supply chains.
A business-led consortium, Scale AI drives economic growth, bolsters Canada’s leadership in the global innovation race, supports the building of world-leading businesses, creates highly skilled jobs, and accelerates the adoption of AI-powered technologies.
Scale AI contributes to the development of an innovative, competitive, diverse and inclusive Canadian economy, with a focus on Small and Medium Enterprises (SMEs)."	Government/Public institutions	Canada	7	Hors France
Scaleway	"Founded in 1999, Scaleway, helps developers and businesses to build, deploy and scale applications to any infrastructure.

Located in Paris, Amsterdam and Warsaw, Scaleway’s complete cloud ecosystem is used by 25,000+ businesses, including European startups, who choose Scaleway for its multi-AZ redundancy, smooth developer experience, data centers that run only on renewable energy, and native tools for managing multi-cloud architectures.

With fully managed offerings for bare metal, containerization and serverless architectures, Scaleway brings choice to the world of cloud computing, offering customers the ability to choose where their customer’s data resides, to choose what architecture works best for their business, and to choose a more responsible way to scale."	Information technologies	France	493	France
Scaylab	Unlock top-tier entrepreneurial coaching with just a few clicks! Scaylab's AI tailors a coaching program specifically for each startup, connecting you with top experts to help achieve your goals. From onboarding to program facilitation, track every step of your projects directly within the platform. Ready to Scayle?	Software Development/Cloud services	France	76	France
Scenario	Scenario is the first genAI toolkit for the gaming industry. Scenario offers the most complete suite of features offering creative precision to game studios and indie developers.Scenario’s training capabilities facilitates the creation of AI models by anyone from anywhere and at any time to easily incorporate style-consistent assets in current game production workflows for ideation, conception, production and marketing. Private by default with full data traceability, Scenario is available as Webapp or API that can directly be integrated within popular engines such as Unity and Unreal or directly in-game. Backed by Play Ventures, Decasonic, Anorak Ventures, Oculus, Riot games, Blizzard and more.	Software Development/Cloud services	United States of America	26	Hors France
Scewo AG	"Scewo BRO is a full-fledged power wheelchair that uses intelligent technologies to enable independent and safe coping with everyday professional and private life. This unique combination of technology and intelligence combines several assistive devices in one product.
Scewo BRO is a self-balancing power wheelchair controlled by a hand joystick without the use of torso stability. Thanks to the two large wheels, it is safe and maneuverable on different surfaces.
Dynamic driving, with the automatic seat tilt, can promote blood circulation and the resulting movements can prevent the development of pressure sores. Pressure points can also be specifically relieved with the seat adjustment.
BRO can be adapted to the needs of the user. The back support and foot support can be adjusted automatically. The head support, arm support and other elements can also be adjusted. In addition, BRO can be supplemented with proprietary or third-party products such as seating systems or controls."	Mobility/Transportation	Switzerland	42	Hors France
